100 2459 46 8
21 44 23 20 44 35 54 4
0 1 2
0 4 1
0 5 2
0 6 1
0 9 2
0 11 1
0 12 2
0 13 2
0 14 1
0 15 1
0 18 1
0 21 2
0 24 2
0 26 1
0 29 2
0 31 2
0 33 1
0 34 2
0 36 2
0 38 1
0 39 2
0 40 2
0 46 1
0 47 2
0 48 2
0 49 1
0 50 1
0 51 2
0 52 1
0 53 2
0 55 2
0 56 2
0 57 1
0 58 2
0 59 1
0 61 2
0 62 1
0 64 1
0 65 2
0 70 2
0 71 1
0 72 1
0 73 2
0 74 1
0 75 1
0 77 1
0 78 1
0 79 1
0 81 2
0 82 1
0 83 1
0 86 1
0 88 2
0 90 1
0 91 2
0 92 2
0 96 2
0 98 1
1 2 1
1 3 2
1 6 1
1 7 2
1 11 2
1 12 2
1 15 1
1 16 2
1 17 2
1 18 1
1 19 2
1 20 2
1 21 1
1 22 2
1 24 1
1 25 2
1 26 1
1 27 1
1 30 1
1 31 1
1 33 1
1 34 2
1 35 2
1 37 1
1 39 1
1 41 2
1 45 1
1 46 1
1 50 2
1 52 2
1 53 1
1 54 1
1 55 1
1 57 2
1 58 2
1 59 1
1 60 1
1 62 1
1 63 1
1 66 2
1 67 1
1 68 2
1 75 2
1 79 1
1 84 1
1 89 2
1 90 1
1 91 2
1 93 1
1 96 1
1 98 1
2 3 1
2 5 1
2 7 2
2 10 1
2 12 1
2 13 1
2 16 2
2 17 2
2 19 2
2 21 2
2 22 1
2 24 2
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 36 2
2 44 2
2 45 2
2 47 2
2 50 2
2 55 2
2 56 1
2 57 2
2 60 2
2 62 2
2 64 2
2 65 2
2 69 1
2 71 2
2 73 2
2 74 1
2 76 1
2 79 2
2 80 1
2 81 2
2 84 2
2 85 2
2 86 1
2 89 1
2 91 2
2 92 2
2 93 2
2 96 2
2 97 1
2 99 1
3 4 1
3 6 1
3 7 1
3 8 1
3 9 2
3 10 1
3 11 1
3 13 2
3 14 1
3 15 2
3 16 1
3 17 2
3 18 2
3 20 2
3 22 1
3 24 2
3 25 1
3 29 1
3 31 2
3 35 2
3 38 2
3 40 1
3 41 1
3 44 2
3 45 1
