100 2510 43 11
14 0 39 81 46 91 44 56 63 29 88
0 2 4
0 3 3
0 4 2
0 5 5
0 6 10
0 9 2
0 10 6
0 11 3
0 12 13
0 14 9
0 15 5
0 16 7
0 17 2
0 18 1
0 19 11
0 21 1
0 23 10
0 24 4
0 25 13
0 32 5
0 33 1
0 34 13
0 36 6
0 39 5
0 41 2
0 44 6
0 45 11
0 47 3
0 49 7
0 52 2
0 53 13
0 54 9
0 55 6
0 58 8
0 64 13
0 67 1
0 69 13
0 71 4
0 73 12
0 74 5
0 75 6
0 78 2
0 79 9
0 80 6
0 82 10
0 83 7
0 85 3
0 86 3
0 90 9
1 2 7
1 3 8
1 6 3
1 8 2
1 10 2
1 11 1
1 13 5
1 14 5
1 19 8
1 21 2
1 23 13
1 24 2
1 25 13
1 30 5
1 31 11
1 32 8
1 33 11
1 38 7
1 39 4
1 40 8
1 41 2
1 43 12
1 44 1
1 45 5
1 46 4
1 47 1
1 48 13
1 49 3
1 50 5
1 52 3
1 53 6
1 57 4
1 58 4
1 59 1
1 61 1
1 62 13
1 64 10
1 68 2
1 70 2
1 71 1
1 72 10
1 73 3
1 79 7
1 83 5
1 85 7
1 88 13
1 94 10
1 96 1
1 98 3
1 99 5
2 4 13
2 6 10
2 7 7
2 9 3
2 10 4
2 12 10
2 13 12
2 16 1
2 17 4
2 18 9
2 19 11
2 21 10
2 22 1
2 23 4
2 26 12
2 27 11
2 31 7
2 32 3
2 34 8
2 37 13
2 38 8
2 39 11
2 41 1
2 42 10
2 43 3
2 44 3
2 45 1
2 47 5
2 48 4
2 50 7
2 54 3
2 55 8
2 56 3
2 57 11
2 58 12
2 60 5
2 61 1
2 62 6
2 63 3
2 65 11
2 66 10
2 71 6
2 72 13
2 73 1
2 74 10
2 75 3
2 77 4
2 78 2
2 79 6
2 86 7
2 87 7
2 91 9
2 92 1
2 95 13
2 97 8
2 98 1
3 8 7
3 10 12
3 12 8
3 13 10
3 19 8
3 20 9
3 24 4
3 25 11
3 27 3
3 28 13
3 31 3
3 34 9
3 35 1
3 37 13
3 38 9
3 39 12
3 40 3
3 42 9
3 45 8
3 47 1
3 48 11
3 51 10
3 52 12
3 53 4
