100 99 18 10
87 37 96 70 85 92 53 49 24 56
0 1 2
0 87 2
0 62 3
0 5 4
0 7 4
0 21 2
0 9 2
0 36 4
0 91 4
0 14 2
0 16 1
0 18 1
0 22 3
0 23 4
0 24 2
0 26 1
0 27 2
0 29 2
0 30 2
0 32 3
0 45 1
0 46 1
0 48 3
0 77 1
0 52 4
0 54 2
0 56 3
0 58 3
0 60 1
0 64 3
0 66 3
0 67 2
0 70 4
0 73 1
0 79 1
0 85 3
0 89 3
0 93 2
0 97 4
2 20 3
2 82 1
2 83 2
2 88 4
3 74 4
4 6 1
4 31 2
4 62 1
4 86 4
7 96 4
8 17 2
8 21 4
10 36 3
11 94 3
12 20 2
12 53 3
12 57 2
13 21 1
15 49 3
16 39 3
19 35 1
19 41 2
19 78 2
19 90 3
20 44 2
20 87 4
21 98 4
23 28 3
24 76 4
25 47 3
29 38 4
31 33 3
31 40 1
34 88 1
37 61 1
39 55 2
42 88 1
43 49 3
43 84 4
43 91 3
43 94 2
43 95 3
47 71 4
49 68 1
50 72 3
51 65 3
51 69 2
55 99 3
59 63 4
59 76 1
61 74 2
62 74 2
65 80 2
71 72 3
72 74 3
75 78 3
77 80 1
80 92 2
81 96 2
88 90 2
11 63 52
13 9 31
14 62 86
21 77 19
24 7 43
41 13 43
54 41 37
57 79 59
63 30 17
68 56 77
69 28 5
69 50 56
77 47 81
81 8 91
82 87 64
83 38 26
90 89 98
95 72 39
